2015-11-16 18:38:13.056 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:13.056 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:13.056 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:13.056 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:13.056 [main] DEBUG  - luxury, matched with: luxury[jewelry]
2015-11-16 18:38:13.056 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - nashville, matched with: nashville[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - news, matched with: news[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - business, matched with: business[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - sports, matched with: sports[Newspaper]
2015-11-16 18:38:13.056 [main] DEBUG  - business, matched with: business[Newspaper]
